store,upc,week,move,price,profit,descrip,custcoun,Brand
5,5490000060,22,21,.02498963,20.12,"DR PEPPER",18299,54900
5,1200000230,23,507,.01759625,13.45,"PEPSI COLA N/R",17691,12000
5,1200000394,23,201,.01945313,4.02,"PEPSI COLA N.R. BOTT",17691,12000
5,1200000396,23,165,.01945313,4.02,"DIET PEPSI N.R. BOTT",17691,12000
5,1200000492,23,217,.01759625,13.45,"CAFFEINE FREE PEPSI",17691,12000
5,1200000496,23,278,.01759625,13.45,"DIET PEPSI CAFFEINE",17691,12000
5,3828100261,23,29,.02083333,41.6,"DOM ORANGE SODA",17691,38281
5,4900000634,23,48,.03875,22.94,"COCA-COLA CLASSIC CA",17691,49000
5,4900000639,23,569,.01759625,13.45,"COCA-COLA CLASSIC",17691,49000
5,4900000658,23,25,.03875,22.94,"COKE DIET CANS",17691,49000
5,5490000060,23,61,.01759625,13.45,"DR PEPPER",17691,54900
5,1200000230,24,172,.02351096,15.09,"PEPSI COLA N/R",17490,12000
5,1200000394,24,32,.02335938,20.07,"PEPSI COLA N.R. BOTT",17490,12000
5,1200000396,24,26,.02335938,20.07,"DIET PEPSI N.R. BOTT",17490,12000
5,1200000492,24,52,.02498963,20.12,"CAFFEINE FREE PEPSI",17490,12000
5,1200000496,24,37,.02498963,20.12,"DIET PEPSI CAFFEINE",17490,12000
5,3828100261,24,277,.01388889,15.63,"DOM ORANGE SODA",17490,38281
5,4900000634,24,36,.03875,22.94,"COCA-COLA CLASSIC CA",17490,49000
5,4900000639,24,105,.02351096,15.09,"COCA-COLA CLASSIC",17490,49000
5,4900000658,24,35,.03875,22.94,"COKE DIET CANS",17490,49000
5,5490000060,24,18,.02498963,20.12,"DR PEPPER",17490,54900
5,1200000230,25,562,.01759625,13.45,"PEPSI COLA N/R",17835,12000
5,1200000394,25,27,.02335938,20.07,"PEPSI COLA N.R. BOTT",17835,12000
5,1200000396,25,40,.02335938,20.07,"DIET PEPSI N.R. BOTT",17835,12000
5,1200000492,25,213,.01759625,13.45,"CAFFEINE FREE PEPSI",17835,12000
5,1200000496,25,210,.01759625,13.45,"DIET PEPSI CAFFEINE",17835,12000
5,3828100261,25,46,.02083333,40,"DOM ORANGE SODA",17835,38281
5,4900000634,25,41,.03875,22.94,"COCA-COLA CLASSIC CA",17835,49000
5,4900000639,25,449,.01759625,13.45,"COCA-COLA CLASSIC",17835,49000
5,4900000658,25,44,.03875,22.94,"COKE DIET CANS",17835,49000
5,5490000060,25,20,.02498963,20.12,"DR PEPPER",17835,54900
5,1200000230,26,132,.02351096,15.09,"PEPSI COLA N/R",18284,12000
5,1200000394,26,27,.02335938,20.07,"PEPSI COLA N.R. BOTT",18284,12000
5,1200000396,26,22,.02335938,20.07,"DIET PEPSI N.R. BOTT",18284,12000
5,1200000492,26,45,.02498963,20.12,"CAFFEINE FREE PEPSI",18284,12000
5,1200000496,26,56,.02498963,20.12,"DIET PEPSI CAFFEINE",18284,12000
5,3828100261,26,61,.02083333,38.8,"DOM ORANGE SODA",18284,38281
5,4900000634,26,16,.03875,22.94,"COCA-COLA CLASSIC CA",18284,49000
5,4900000639,26,100,.02351096,15.09,"COCA-COLA CLASSIC",18284,49000
5,4900000658,26,11,.03875,22.94,"COKE DIET CANS",18284,49000
5,5490000060,26,8,.02498963,20.12,"DR PEPPER",18284,54900
5,1200000230,27,1071,.0146389,36.36,"PEPSI COLA N/R",18391,12000
5,1200000394,27,34,.02335938,20.07,"PEPSI COLA N.R. BOTT",18391,12000
5,1200000396,27,17,.02335938,20.07,"DIET PEPSI N.R. BOTT",18391,12000
5,1200000492,27,391,.0146389,36.36,"CAFFEINE FREE PEPSI",18391,12000
5,1200000496,27,367,.0146389,36.36,"DIET PEPSI CAFFEINE",18391,12000
5,3828100261,27,62,.02083333,38.8,"DOM ORANGE SODA",18391,38281
5,4900000634,27,23,.03875,22.94,"COCA-COLA CLASSIC CA",18391,49000
5,4900000639,27,973,.0146389,36.36,"COCA-COLA CLASSIC",18391,49000
5,4900000658,27,23,.03875,22.94,"COKE DIET CANS",18391,49000
5,5490000060,27,79,.0146389,36.36,"DR PEPPER",18391,54900
5,1200000230,28,118,.02351096,15.09,"PEPSI COLA N/R",18132,12000
5,1200000394,28,29,.02335938,20.07,"PEPSI COLA N.R. BOTT",18132,12000
5,1200000396,28,25,.02335938,20.07,"DIET PEPSI N.R. BOTT",18132,12000
5,1200000492,28,40,.02498963,20.12,"CAFFEINE FREE PEPSI",18132,12000
5,1200000496,28,38,.02498963,20.12,"DIET PEPSI CAFFEINE",18132,12000
5,3828100261,28,59,.02083333,40.8,"DOM ORANGE SODA",18132,38281
5,4900000634,28,16,.03875,22.94,"COCA-COLA CLASSIC CA",18132,49000
5,4900000639,28,115,.02351096,15.09,"COCA-COLA CLASSIC",18132,49000
5,4900000658,28,10,.03875,22.94,"COKE DIET CANS",18132,49000
5,5490000060,28,12,.02498963,20.12,"DR PEPPER",18132,54900
5,1200000230,29,157,.02351096,15.09,"PEPSI COLA N/R",17494,12000
5,1200000394,29,21,.02335938,20.07,"PEPSI COLA N.R. BOTT",17494,12000
5,1200000396,29,27,.02335938,20.07,"DIET PEPSI N.R. BOTT",17494,12000
5,1200000492,29,70,.02498963,20.12,"CAFFEINE FREE PEPSI",17494,12000
5,1200000496,29,66,.02498963,20.12,"DIET PEPSI CAFFEINE",17494,12000
5,3828100261,29,187,.01666667,27,"DOM ORANGE SODA",17494,38281
5,4900000634,29,179,.02763889,8.04,"COCA-COLA CLASSIC CA",17494,49000
5,4900000639,29,113,.02351096,15.09,"COCA-COLA CLASSIC",17494,49000
5,4900000658,29,135,.02763889,8.04,"COKE DIET CANS",17494,49000
5,5490000060,29,21,.02498963,20.12,"DR PEPPER",17494,54900
5,1200000230,30,240,.01759625,13.45,"PEPSI COLA N/R",17122,12000
5,1200000394,30,97,.02101563,11.15,"PEPSI COLA N.R. BOTT",17122,12000
5,1200000396,30,68,.02101563,11.15,"DIET PEPSI N.R. BOTT",17122,12000
5,1200000492,30,129,.01759625,13.45,"CAFFEINE FREE PEPSI",17122,12000
5,1200000496,30,193,.01759625,13.45,"DIET PEPSI CAFFEINE",17122,12000
5,3828100261,30,100,.02083333,40.4,"DOM ORANGE SODA",17122,38281
5,4900000634,30,42,.03875,22.94,"COCA-COLA CLASSIC CA",17122,49000
5,4900000639,30,176,.0205536,2.88,"COCA-COLA CLASSIC",17122,49000
5,4900000658,30,50,.03875,22.94,"COKE DIET CANS",17122,49000
5,5490000060,30,101,.01759625,13.45,"DR PEPPER",17122,54900
5,1200000230,31,33,.02351096,15.09,"PEPSI COLA N/R",17438,12000
5,1200000394,31,11,.02335938,20.07,"PEPSI COLA N.R. BOTT",17438,12000
5,1200000396,31,6,.02335938,20.07,"DIET PEPSI N.R. BOTT",17438,12000
5,1200000492,31,18,.02498963,20.12,"CAFFEINE FREE PEPSI",17438,12000
5,1200000496,31,16,.02498963,20.12,"DIET PEPSI CAFFEINE",17438,12000
5,3828100261,31,20,.02083333,40.8,"DOM ORANGE SODA",17438,38281
5,4900000634,31,11,.03875,22.94,"COCA-COLA CLASSIC CA",17438,49000
5,4900000639,31,20,.02351096,15.09,"COCA-COLA CLASSIC",17438,49000
5,4900000658,31,3,.03875,22.94,"COKE DIET CANS",17438,49000
5,5490000060,31,4,.02498963,20.12,"DR PEPPER",17438,54900
5,1200000230,32,129,.02351096,15.09,"PEPSI COLA N/R",15935,12000
5,1200000394,32,27,.02335938,20.07,"PEPSI COLA N.R. BOTT",15935,12000
5,1200000396,32,28,.02335938,20.07,"DIET PEPSI N.R. BOTT",15935,12000
5,1200000492,32,43,.02498963,20.12,"CAFFEINE FREE PEPSI",15935,12000
5,1200000496,32,55,.02498963,20.12,"DIET PEPSI CAFFEINE",15935,12000
5,3828100261,32,208,.01388889,8.75,"DOM ORANGE SODA",15935,38281
5,4900000634,32,46,.03875,22.94,"COCA-COLA CLASSIC CA",15935,49000
5,4900000639,32,172,.0205536,2.88,"COCA-COLA CLASSIC",15935,49000
5,4900000658,32,31,.03875,22.94,"COKE DIET CANS",15935,49000
5,5490000060,32,26,.02498963,20.12,"DR PEPPER",15935,54900
5,1200000230,33,1080,.01316022,51.69,"PEPSI COLA N/R",16043,12000
5,1200000394,33,75,.02101563,11.15,"PEPSI COLA N.R. BOTT",16043,12000
5,1200000396,33,60,.02101563,11.15,"DIET PEPSI N.R. BOTT",16043,12000
